lat;lng;uf
-22.53932648243117;-52.05187784488657;PR
-22.541696228398184;-52.01265110886156;PR
-22.563456435965662;-51.96087482111607;PR
-22.567342750967118;-51.94051262675628;PR
-22.62821623159374;-51.87366299105415;PR
-22.632226024411434;-51.84709611399445;PR
-22.614126911028038;-51.77162057872667;PR
-22.628614387543905;-51.73303663223473;PR
-22.661464441031093;-51.725867430237685;PR
-22.669368568104925;-51.6991708754355;PR
-22.657244238330815;-51.66235052825424;PR
-22.662593440035245;-51.61584220195599;PR
-22.686462681907166;-51.58917972426481;PR
-22.697179345150648;-51.55956915828999;PR
-22.686797704550393;-51.52574119639904;PR
-22.692027956524935;-51.50832182659103;PR
-22.67921742244607;-51.47495106833706;PR
-22.655750534559477;-51.45309608481646;PR
-22.653510808077243;-51.42472559670888;PR
-22.66790549524242;-51.40201628602273;PR
-22.658132862941244;-51.373649237822;PR
-22.67449023773422;-51.30649496756868;PR
-22.66769740561076;-51.26519985648817;PR
-22.68957623375613;-51.24287980385981;PR
-22.71601718594431;-51.228335958737446;PR
-22.729892067664753;-51.18701527633392;PR
-22.748962850854898;-51.1644127988116;PR
-22.75999210495167;-51.12792315303099;PR
-22.766057092360853;-51.057615008026175;PR
-22.793821426617495;-51.00554855761986;PR
-22.782100338459838;-50.97592789675497;PR
-22.80393229034287;-50.94563639290517;PR
-22.794300162722298;-50.895333390723366;PR
-22.831398474160245;-50.84238713445866;PR
-22.859169246663356;-50.83292021229789;PR
-22.888552352509038;-50.797817056711764;PR
-22.9051172629513;-50.79313808195692;PR
-22.94029933404702;-50.80614622946487;PR
-22.95117936723394;-50.79593503107678;PR
-22.947654255939163;-50.758662985907975;PR
-22.96249857085226;-50.7295267790376;PR
-22.953442198198857;-50.70983876954352;PR
-22.906197149079105;-50.68208288171959;PR
-22.895669204969813;-50.66354613664486;PR
-22.923178532862963;-50.60380838554848;PR
-22.905271902276375;-50.58099395850431;PR
-22.912128920812997;-50.54049350277288;PR
-22.944638844407137;-50.51101918588661;PR
-22.936934536799434;-50.48273945016544;PR
-22.945201243542485;-50.45942502794268;PR
-22.94418555012298;-50.42571260195497;PR
-22.912771656386738;-50.416426447122774;PR
-22.905405571210075;-50.37907459881369;PR
-22.91605881516214;-50.359249489472305;PR
-22.948072768943057;-50.34018659693385;PR
-22.951265709345;-50.32331336921659;PR
-22.93160323789904;-50.27556904617445;PR
-22.937798408469718;-50.24761114633728;PR
-22.95097776711023;-50.243248311160585;PR
-22.954004090116563;-50.18508212444044;PR
-22.935618425749688;-50.15299307097341;PR
-22.93979123687601;-50.1154097722431;PR
-22.92250472391388;-50.09282580906381;PR
-22.928123651185523;-50.071549789291254;PR
-22.905268515429576;-50.05273936073283;PR
-22.911250487320117;-50.01463398576978;PR
-22.89750476353398;-49.98616492477137;PR
-22.914140698834146;-49.96574420253286;PR
-22.93086299692972;-49.96137770261886;PR
-22.956514829096037;-49.97393899318995;PR
-22.978420489413985;-49.95450191613052;PR
-22.982462849380923;-49.93264111489551;PR
-22.999311802597553;-49.901670169642586;PR
-23.036420732330896;-49.91627269103181;PR
-23.051118642111618;-49.9116021986825;PR
-23.0716918542956;-49.867415280690636;PR
-23.065942950706606;-49.83365890303591;PR
-23.103345549557417;-49.789179060565154;PR
-23.097757410576;-49.751381968702844;PR
-23.109438145254167;-49.725550952014814;PR
-23.143093801537646;-49.72813016177756;PR
-23.17494258493231;-49.677707990431344;PR
-23.21203697622542;-49.65375156198493;PR
-23.28665012100619;-49.62580288739329;PR
-23.299475698045;-49.630880289693586;PR
-23.354653409727042;-49.611806651156016;PR
-23.367091447312433;-49.59541211457739;PR
-23.38441587659141;-49.60506429797891;PR
-23.40847382680562;-49.602518703974965;PR
-23.428954765849717;-49.581789975626776;PR
-23.452525040698056;-49.603260771467404;PR
-23.47842363604191;-49.60328941397523;PR
-23.493325209890465;-49.621379339884555;PR
-23.523303044599814;-49.62421689249557;PR
-23.53562438435781;-49.60020622233928;PR
-23.566787319579106;-49.60789471267087;PR
-23.583973603099246;-49.60284861487162;PR
-23.611113667561632;-49.62095832226876;PR
-23.652116067302615;-49.602133843601976;PR
-23.65887549051142;-49.58530734645684;PR
-23.678328486470463;-49.57987606632737;PR
-23.70401646059119;-49.54919910945129;PR
-23.73677860444902;-49.56732363857504;PR
-23.81193071652929;-49.560068938930286;PR
-23.82704728410485;-49.572678495216344;PR
-23.84062243617646;-49.6076198348874;PR
-23.88887988899566;-49.587041931839636;PR
-23.921263527090048;-49.55701046066417;PR
-23.925899799336165;-49.5116045907792;PR
-23.99337862502348;-49.492269897937405;PR
-24.027435777339207;-49.46344307044133;PR
-24.049485219467257;-49.457540139965445;PR
-24.06870875520481;-49.4297862009723;PR
-24.085601332735294;-49.43184383362598;PR
-24.10689243863513;-49.40870824968598;PR
-24.137581853819462;-49.33656625752677;PR
-24.204275215228982;-49.342817953185964;PR
-24.220800431394757;-49.35067724725715;PR
-24.251430972461336;-49.30537406735927;PR
-24.276303879320558;-49.30123497451444;PR
-24.302598895822356;-49.286900309901355;PR
-24.31936431910801;-49.25043659607201;PR
-24.332175213815027;-49.24470221833269;PR
-24.345106569112794;-49.20111183234515;PR
-24.392717698063258;-49.24767589322781;PR
-24.40447284624478;-49.237850278267665;PR
-24.434152310180977;-49.25266214833946;PR
-24.455744820267128;-49.25354982146709;PR
-24.492743727840733;-49.272874611873824;PR
-24.50030991127332;-49.29567407869578;PR
-24.53592531620034;-49.279905463965996;PR
-24.555508879331306;-49.315989362618964;PR
-24.596948681436487;-49.30359706635151;PR
-24.632066404241158;-49.314071247190256;PR
-24.65495734020906;-49.299625316654996;PR
-24.663532670896025;-49.31201543476445;PR
-24.69302152622243;-49.278132821072816;PR
-24.695921454011888;-49.20434252808515;PR
-24.672750351347567;-49.18565087928458;PR
-24.675559871191098;-49.13482333762683;PR
-24.6883523091117;-49.11159463788225;PR
-24.673416474690455;-49.074674876044654;PR
-24.682379333139657;-49.05420774698988;PR
-24.66041970900234;-49.03739973001352;PR
-24.65437107486523;-49.01030569465202;PR
-24.674168589408872;-48.962202069969536;PR
-24.664976807633508;-48.840400884992825;PR
-24.6552958810001;-48.82283701661499;PR
-24.674142590907827;-48.81192393873877;PR
-24.68118936639611;-48.78820674794302;PR
-24.69568792166021;-48.77712193283091;PR
-24.693249725594363;-48.744749809655936;PR
-24.68038205308924;-48.70381202080803;PR
-24.67930195112413;-48.671473225608814;PR
